,State_Code,State_Name,Crash_ID,Count_Non_Motorists,Count_Vehicles_Total,Count_Vehicle_Forms,Count_PVH_Involved,Count_Occupants_MV,City_Name,Month_Name,Day_of_Month,Day_of_Week,Crash_Hour,Crash_Minute,Area_Rural_Urban,Road_Functional_Class,On_NHS_Road,Latitude,Longitude,Intersection_Type,Light_Condition,Weather_Condition,Notif_Hour,Notif_Minute,Arrival_Hour,Arrival_Minute,Hospital_Hour,Hospital_Minute,Fatalities_Count,Clean_Light_Condition,Clean_Weather_Condition,Total_Killed,Total_Alive,Fatal_Seats_List,Killed_Restraint_List,Any_Driver_Drinking,Total_Drinking_Drivers,Driver_License_Category,Driver_Max_Prev_Accident_Count,Driver_Max_Prev_Speeding_Count,Max_Driver_Age,Min_Driver_Age,Driver_Sex_List,Total_Exceeding_Limit_Vehicles,Total_Too_Fast_Vehicles,Max_Vehicle_Type_Severity_5,Max_Vehicle_Damage_Rank,Max_Harmful_Event_Severity,Crash_Road_Surface_Condition,Crash_Horizontal_Alignment,Crash_Vertical_Profile,Crash_Impairment_Category,Crash_Vehicle_Defect
0,1,Alabama,10001,0,1,1,0,1,NOT APPLICABLE,January,4,Wednesday,22,20,Rural,Medium Speed (Collector),No,31.927975,-86.53883333,Non-Intersection,Dark - Not Lighted,Clear,10:00pm-10:59pm,20,10:00pm-10:59pm,45,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,1.0,33.0,33.0,['Male'],0,0,3,4,2,Dry,Straight,Grade/Hillcrest,Medium,No
1,1,Alabama,10002,0,1,1,0,1,NOT APPLICABLE,March,20,Monday,2,0,Rural,Low Speed (Local),No,30.50874444,-88.27321389,Non-Intersection,Dark - Not Lighted,Clear,2:00am-2:59am,8,2:00am-2:59am,23,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Valid,0.0,0.0,32.0,32.0,['Female'],0,0,2,4,3,Dry,Straight,Level,Lowest,No
2,1,Alabama,10003,0,1,1,0,1,NOT APPLICABLE,March,18,Saturday,22,56,Rural,Medium Speed (Collector),No,34.73833333,-86.375825,Non-Intersection,Dark - Not Lighted,Clear,10:00pm-10:59pm,48,11:00pm-11:59pm,8,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Valid,0.0,0.0,21.0,21.0,['Female'],1,0,2,4,3,Dry,Curve,Grade/Hillcrest,Lowest,No
3,1,Alabama,10004,0,1,1,0,3,NOT APPLICABLE,March,17,Friday,19,0,Rural,Low Speed (Local),No,31.01478056,-86.74669444,Non-Intersection,Dark - Not Lighted,Rain,7:00pm-7:59pm,0,7:00pm-7:59pm,44,Unknown,Unknown EMS Hospital Arrival Time,1,Dark - Unlighted,Rain/Wind/Minor,1,2,['Rear_Seat'],['None_Used'],1,1,Valid,1.0,0.0,54.0,54.0,['Male'],3,0,3,4,3,Dry,Curve,Grade/Hillcrest,Lowest,No
4,1,Alabama,10005,0,1,1,0,4,NOT APPLICABLE,March,17,Friday,14,55,Rural,High Speed (Arterial),Yes,31.02740556,-87.6438,Non-Intersection,Daylight,Rain,2:00pm-2:59pm,53,3:00pm-3:59pm,8,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Rain/Wind/Minor,1,3,['Driver'],['Shoulder_Lapbelt'],0,0,Invalid,0.0,0.0,54.0,54.0,['Male'],4,0,2,4,3,Wet/Standing Water,Straight,Level,Lowest,No
5,1,Alabama,10006,0,1,1,0,1,NOT APPLICABLE,March,16,Thursday,5,25,Rural,Low Speed (Local),No,33.22190556,-86.38474722,Non-Intersection,Daylight,Clear,5:00am-5:59am,18,5:00am-5:59am,33,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Clear,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,4.0,0.0,67.0,67.0,['Male'],0,0,3,4,3,Dry,Straight,Level,Lowest,No
6,1,Alabama,10007,0,2,2,0,2,NOT APPLICABLE,March,16,Thursday,5,25,Rural,Medium Speed (Collector),No,34.44845556,-86.52765556,Non-Intersection,Dark - Not Lighted,Clear,5:00am-5:59am,31,5:00am-5:59am,48,6:00am-6:59am,48,2,Dark - Unlighted,Clear,2,0,"['Driver', 'Driver']","['None_Used', 'None_Used']",0,0,Valid,0.0,1.0,46.0,33.0,"['Male', 'Male']",0,0,3,4,5,Dry,Curve,Level,Lowest,No
7,1,Alabama,10008,0,1,1,0,2,NOT APPLICABLE,March,15,Wednesday,11,12,Rural,Medium Speed (Collector),No,33.02797222,-85.94111111,Non-Intersection,Daylight,Clear,11:00am-11:59am,12,11:00am-11:59am,22,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Clear,1,1,['Front_Passenger'],['None_Used'],0,0,Invalid,2.0,1.0,34.0,34.0,['Male'],0,0,3,4,3,Dry,Curve,Grade/Hillcrest,Lowest,No
8,1,Alabama,10009,0,1,1,0,3,NOT APPLICABLE,March,11,Saturday,1,30,Rural,High Speed (Arterial),No,32.38221389,-88.19781389,Non-Intersection,Dark - Not Lighted,Clear,1:00am-1:59am,40,2:00am-2:59am,1,Not Applicable (Not Transported),Not Applicable (Not Transported),2,Dark - Unlighted,Clear,2,1,"['Front_Passenger', 'Rear_Seat']","['None_Used', 'None_Used']",1,1,Invalid,0.0,1.0,28.0,28.0,['Male'],0,0,2,4,3,Dry,Straight,Grade/Hillcrest,Lowest,No
9,1,Alabama,10010,0,2,2,0,4,NOT APPLICABLE,January,12,Thursday,18,20,Rural,Medium Speed (Collector),No,32.10828056,-86.52649167,Non-Intersection,Dark - Not Lighted,Clear,6:00pm-6:59pm,18,6:00pm-6:59pm,59,7:00pm-7:59pm,46,1,Dark - Unlighted,Clear,1,3,['Driver'],['Shoulder_Lapbelt'],1,2,Valid,0.0,1.0,33.0,33.0,"['Male', 'Male']",0,0,3,4,5,Dry,Curve,Level,Lowest,No
10,1,Alabama,10011,0,1,1,0,1,NOT APPLICABLE,January,2,Monday,18,18,Rural,Medium Speed (Collector),No,34.10104444,-87.39218889,Non-Intersection,Dark - Not Lighted,Cloudy,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Reduced Visibility,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,20.0,20.0,['Male'],1,0,2,4,3,Dry,Straight,Grade/Hillcrest,Lowest,No
11,1,Alabama,10012,0,1,1,0,1,NOT APPLICABLE,January,3,Tuesday,14,10,Urban,Medium Speed (Collector),Yes,32.51246111,-86.45651944,Non-Intersection,Daylight,Rain,2:00pm-2:59pm,10,2:00pm-2:59pm,20,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Rain/Wind/Minor,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,17.0,17.0,['Male'],1,0,3,4,3,Wet/Standing Water,Curve,Level,Lowest,No
12,1,Alabama,10013,0,2,2,0,4,NOT APPLICABLE,January,1,Sunday,2,30,Rural,Medium Speed (Collector),No,30.56732222,-87.76065833,Non-Intersection,Dark - Not Lighted,"Fog, Smog, Smoke",Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Unknown,Unknown EMS Hospital Arrival Time,1,Dark - Unlighted,Reduced Visibility,1,3,['Driver'],['Lapbelt_Only'],0,0,Valid,0.0,0.0,28.0,22.0,"['Male', 'Male']",0,0,3,4,5,Dry,Straight,Level,Lowest,No
13,1,Alabama,10014,1,1,1,0,1,BESSEMER,January,2,Monday,17,42,Urban,Medium Speed (Collector),No,33.409225,-86.97589444,Non-Intersection,Dark - Not Lighted,Clear,5:00pm-5:59pm,42,5:00pm-5:59pm,56,6:00pm-6:59pm,18,1,Dark - Unlighted,Clear,0,1,[],[],0,0,Valid,0.0,0.0,59.0,59.0,['Male'],0,0,3,2,4,Dry,Straight,Level,Lowest,No
14,1,Alabama,10015,0,2,2,0,2,PRATTVILLE,January,4,Wednesday,3,5,Urban,High Speed (Arterial),Yes,32.4605,-86.41808889,Complex/Circle,Dark - Lighted,Rain,3:00am-3:59am,5,3:00am-3:59am,10,3:00am-3:59am,46,1,Dark - Lighted,Rain/Wind/Minor,1,1,['Driver'],['None_Used'],1,1,Invalid,1.0,0.0,52.0,32.0,"['Male', 'Male']",0,0,3,4,5,Wet/Standing Water,Straight,Level,Lowest,No
